2025-09-18 16:08:02 | trading_system | INFO     | Logger 'trading_system' initialized. Log file: logs\trading_system_20250918.log
2025-09-18 16:08:02 | trading_system | INFO     | Logging system initialized
2025-09-18 16:22:46 | trading_system | INFO     | Logger 'trading_system' initialized. Log file: logs\trading_system_20250918.log
2025-09-18 16:22:46 | trading_system | INFO     | Logging system initialized
2025-09-18 16:42:13 | trading_system | INFO     | Logger 'trading_system' initialized. Log file: logs\trading_system_20250918.log
2025-09-18 16:42:13 | trading_system | INFO     | Logging system initialized
2025-09-18 17:28:55 | trading_system | INFO     | Logger 'trading_system' initialized. Log file: logs\trading_system_20250918.log
2025-09-18 17:28:55 | trading_system | INFO     | Logging system initialized
2025-09-18 17:29:57 | trading_system | INFO     | Logger 'trading_system' initialized. Log file: logs\trading_system_20250918.log
2025-09-18 17:29:57 | trading_system | INFO     | Logging system initialized
2025-09-18 17:32:15 | trading_system | INFO     | Logger 'trading_system' initialized. Log file: logs\trading_system_20250918.log
2025-09-18 17:32:15 | trading_system | INFO     | Logging system initialized
2025-09-18 17:33:07 | trading_system | INFO     | Logger 'trading_system' initialized. Log file: logs\trading_system_20250918.log
2025-09-18 17:33:07 | trading_system | INFO     | Logging system initialized
2025-09-18 17:34:50 | trading_system | INFO     | Logger 'trading_system' initialized. Log file: logs\trading_system_20250918.log
2025-09-18 17:34:50 | trading_system | INFO     | Logging system initialized
2025-09-18 17:37:18 | trading_system | INFO     | Logger 'trading_system' initialized. Log file: logs\trading_system_20250918.log
2025-09-18 17:37:18 | trading_system | INFO     | Logging system initialized
2025-09-18 17:37:27 | trading_system | INFO     | Logger 'trading_system' initialized. Log file: logs\trading_system_20250918.log
2025-09-18 17:37:27 | trading_system | INFO     | Logging system initialized
2025-09-18 17:38:20 | trading_system | INFO     | Logger 'trading_system' initialized. Log file: logs\trading_system_20250918.log
2025-09-18 17:38:20 | trading_system | INFO     | Logging system initialized
2025-09-18 18:07:13 | trading_system | INFO     | Logger 'trading_system' initialized. Log file: logs\trading_system_20250918.log
2025-09-18 18:07:13 | trading_system | INFO     | Logging system initialized
2025-09-18 20:27:41 | trading_system | INFO     | Logger 'trading_system' initialized. Log file: logs\trading_system_20250918.log
2025-09-18 20:27:41 | trading_system | INFO     | Logging system initialized
2025-09-18 20:34:25 | trading_system | INFO     | Logger 'trading_system' initialized. Log file: logs\trading_system_20250918.log
2025-09-18 20:34:25 | trading_system | INFO     | Logging system initialized
2025-09-18 20:34:45 | trading_system | INFO     | Logger 'trading_system' initialized. Log file: logs\trading_system_20250918.log
2025-09-18 20:34:45 | trading_system | INFO     | Logging system initialized
2025-09-18 21:09:44 | trading_system | INFO     | Logger 'trading_system' initialized. Log file: logs\trading_system_20250918.log
2025-09-18 21:09:44 | trading_system | INFO     | Logging system initialized
